UserScreenName,UserName,Timestamp,Text,Embedded_text,Emojis,Comments,Likes,Retweets,Image link,Tweet URL
The Express Tribune,@etribune,2022-01-01T15:53:15.000Z,"The Express Tribune
@etribune
·
1 Jan","UAE announces travel ban on non-vaccinated citizens
#etribune #UAE
https://tribune.com.pk/story/2336667/1
2
5
15",,2,5,15,['https://pbs.twimg.com/media/FIBywf3X0AIYcfH?format=png&name=small'],https://twitter.com/etribune/status/1477306938828500999
The Express Tribune,@etribune,2022-01-01T12:38:32.000Z,"The Express Tribune
@etribune
·
1 Jan","Indian state enacts law against mob lynching
#etribune #latest
https://tribune.com.pk/story/2336649/1
1
4
6",,1,4,6,['https://pbs.twimg.com/media/FIBGMN4XwAE30cs?format=png&name=small'],https://twitter.com/etribune/status/1477257935415828485
The Express Tribune,@etribune,2022-01-01T13:54:56.000Z,"The Express Tribune
@etribune
·
1 Jan","5.3 magnitude earthquake hits Islamabad, parts of K-P
#etribune #LatestNews
tribune.com.pk
5.3 magnitude earthquake hits Islamabad, parts of K-P
Strong earthquake tremors hit Islamabad and various parts of Khyber-Pakhtunkhwa (K-P) including provincial capital Peshawar on Saturday
1
4
22",,1,4,22,['https://pbs.twimg.com/card_img/1513332613905547265/lYn8gCBY?format=jpg&name=small'],https://twitter.com/etribune/status/1477277160033370112
The Express Tribune,@etribune,2022-01-01T17:07:24.000Z,"The Express Tribune
@etribune
·
1 Jan","Thousands rally in Iraq to mark 2020 killing of Iran general
#etribune 
https://tribune.com.pk/story/2336669/1
1
2
7",,1,2,7,['https://pbs.twimg.com/media/FICDsbXWYAgyqxn?format=png&name=small'],https://twitter.com/etribune/status/1477325597881913356
The Express Tribune,@etribune,2022-01-01T03:57:59.000Z,"The Express Tribune
@etribune
·
1 Jan","South Waziristan was rich in fruits and vegetables and added there were many opportunities for agriculture
tribune.com.pk
Govt to develop South Waziristan agri sector
South Waziristan was rich in fruits and vegetables and added there were many opportunities for agriculture
7
24",,,7,24,[],https://twitter.com/etribune/status/1477126935499132932
The Express Tribune,@etribune,2022-01-01T16:43:33.000Z,"The Express Tribune
@etribune
·
1 Jan","Pakistan ‘strongly condemns’ extra-judicial killings of 4 more youths in IIOJK
#etribune
tribune.com.pk
Pakistan strongly condemns killing of four more Kashmiris
Youth were martyred in Srinagar and Kupwara, IIOJK
5
10
19",,5,10,19,['https://pbs.twimg.com/card_img/1513839591697965064/DycnrjT-?format=jpg&name=medium'],https://twitter.com/etribune/status/1477319594436141065
The Express Tribune,@etribune,2022-01-01T18:29:15.000Z,"The Express Tribune
@etribune
·
1 Jan","England reports 162,572 new #Covid_19 cases, another record

Read here http://bit.ly/3FNM7NZ

#etribune #latest
1
1
1",,1,1,1,['https://pbs.twimg.com/media/FICWNIPWUAAXgVn?format=jpg&name=small'],https://twitter.com/etribune/status/1477346196448587780
The Express Tribune,@etribune,2022-01-02T11:38:56.000Z,"The Express Tribune
@etribune
·
2 Jan","A 40-year-old man ran away from his house carrying a machete to avoid getting jabbed by health authorities. He later climbed a tree screaming “I will not take the vaccine, you can't get me"" The incident took place in Puducherry, India earlier this week.

#Etribune #Covid-19
2
13
40",,2,13,40,['https://pbs.twimg.com/amplify_video_thumb/1477603826202984449/img/5HhK1l8dAUWiD00y.jpg'],https://twitter.com/etribune/status/1477605324970508290
The Express Tribune,@etribune,2022-01-02T08:04:18.000Z,"The Express Tribune
@etribune
·
2 Jan","According to a report released by the Research Section of Kashmir Media Service, on Saturday, 65 Kashmiris were martyred in fake encounters and custody.
#etribune #latest #news
tribune.com.pk
Indian troops martyred 210 Kashmiris in 2021: report
Sixty-five Kashmiris were martyred in fake encounters and custody
7
53
84",,7,53,84,[],https://twitter.com/etribune/status/1477551308668289025
The Express Tribune,@etribune,2022-01-02T17:56:27.000Z,"The Express Tribune
@etribune
·
2 Jan","Thousands of protesters defied authorities and gathered in the Dutch capital Amsterdam on Sunday to oppose coronavirus restrictions, leading to clashes and arrests
#etribune #Covid_19 
https://tribune.com.pk/story/2336824/1
6
13
56",,6,13,56,[],https://twitter.com/etribune/status/1477700328791416837
The Express Tribune,@etribune,2022-01-02T13:45:53.000Z,"The Express Tribune
@etribune
·
2 Jan","First-ever #ginger harvest inaugurated in #Pakistan
#etribune 

https://tribune.com.pk/story/2336805/first-ever-ginger-harvest-inaugurated-in-pakistan…
1
4
27",,1,4,27,[],https://twitter.com/etribune/status/1477637271885078537
The Express Tribune,@etribune,2022-01-03T16:16:51.000Z,"The Express Tribune
@etribune
·
3 Jan","Kashmiri man, who the Indian media claimed was killed after being infiltrated by Pakistan, says he is alive, debunking the baseless allegation
5
15
47",,5,15,47,['https://pbs.twimg.com/ext_tw_video_thumb/1478037537226637312/pu/img/ehFNfNfMBScPCCwZ.jpg'],https://twitter.com/etribune/status/1478037653811511300
